ID,Pos,Player,Team,Eligible,Status,Age,Opponent,IP,SV,HLD,K,ERA,WHIP,W+QS,GP,FANTRAXID,IDFANGRAPHS,MLBID,TBF,FIP,xFIP,SIERA,K-BB%,HardHit%,BABIP+,Stuff+,Location+,Pitching+,CSW%,Pitches,K%,BB%,est_woba_minus_woba_diff,era_minus_xera_diff,bip,brl_percent,ev95plus,avg_hit_speed,avg_hit_angle,team_name
*04yie*,SP,George Kirby,SEA,SP,Res,26,@LAA Sun 3:07PM,161.0,0,0,153,3.63,1.112,26,28,*04yie*,25436,669923.0,666.0,3.39,3.64,3.61,0.198,0.35600000000000004,105.0,106.0,106.0,106.0,0.263,2521.0,0.23,0.032,-0.003,0.034,485.0,8.7,175.0,88.9,15.0,Florence Y'alls
*03pon*,SP,Triston McKenzie,CLE,SP,Res,27,PIT Sun 12:40PM,75.2,0,0,74,5.11,1.559,6,16,*03pon*,18000,663474.0,340.0,6.46,5.43,5.23,0.07400000000000001,0.41700000000000004,90.0,99.0,90.0,90.0,0.259,1308.0,0.218,0.14400000000000002,-0.005,-0.525,215.0,13.0,90.0,90.7,20.0,Florence Y'alls
*02hg4*,SP,Marcus Stroman,NYY,SP,Res,33,STL Sun 12:35PM,139.1,0,0,102,3.81,1.385,19,26,*02hg4*,13431,573186.0,597.0,4.79,4.63,4.85,0.075,0.38799999999999996,101.0,92.0,96.0,94.0,0.249,2361.0,0.171,0.095,-0.008,-1.039,430.0,7.0,170.0,89.2,10.4,Florence Y'alls
*03dbe*,P,Austin Gomber,COL,SP,Res,30,BAL Sun 2:10PM,144.0,0,0,102,4.69,1.299,14,26,*03dbe*,16561,596295.0,605.0,4.96,4.5,4.64,0.109,0.41,96.0,81.0,102.0,97.0,0.258,2307.0,0.16899999999999998,0.06,-0.0129999999999999,-0.532,466.0,10.3,192.0,90.1,14.5,Florence Y'alls
*04pmm*,RP,Nick Sandlin,CLE,RP,Res,27,PIT Sun 12:40PM,49.0,1,8,58,3.67,1.204,7,59,*04pmm*,20517,680704.0,201.0,4.95,4.26,3.61,0.16899999999999998,0.424,81.0,93.0,93.0,93.0,0.298,806.0,0.27899999999999997,0.109,-0.009,-0.486,118.0,11.0,50.0,91.1,18.6,Florence Y'alls
*04pn3*,SP,Josiah Gray,WSH,SP,IR,26,CHC Sun 12:35PM,8.1,0,0,9,14.04,2.4,0,2,*04pn3*,24580,680686.0,44.0,5.93,5.55,5.02,0.091,0.5,157.0,82.0,94.0,90.0,0.284,176.0,0.205,0.114,0.0979999999999999,7.9,30.0,13.3,15.0,90.3,22.2,Florence Y'alls
*05a2d*,SP,Max Meyer,MIA,SP,Min,25,@SF Sun 3:05PM,51.1,0,0,41,5.44,1.383,6,10,*05a2d*,27474,676974.0,222.0,5.84,4.46,4.5,0.10400000000000001,0.475,94.0,98.0,97.0,100.0,0.247,874.0,0.185,0.081,0.0259999999999999,0.485,160.0,14.4,77.0,90.5,9.9,Florence Y'alls
*05wxw*,RP,Gordon Graceffo,STL,RP,Min,24,@NYY Sun 12:35PM,7.2,0,0,6,4.7,1.174,0,2,*05wxw*,29519,700669.0,31.0,4.08,4.38,4.19,0.129,0.391,92.0,83.0,94.0,90.0,0.23800000000000002,105.0,0.19399999999999998,0.065,-0.0259999999999999,-0.664,23.0,13.0,9.0,88.9,14.6,Florence Y'alls
*04t40*,SP,Brayan Bello,BOS,SP,Act,25,@DET Sun 12:40PM,137.0,0,0,131,4.66,1.372,22,25,*04t40*,23920,678394.0,592.0,4.38,3.76,4.04,0.133,0.409,108.0,101.0,100.0,103.0,0.287,2247.0,0.221,0.08800000000000001,0.003,0.314,401.0,7.5,164.0,88.5,5.9,The Authority
*05r8n*,SP,Yoshinobu Yamamoto,LAD,SP,Act,26,@ARI Sun 3:10PM,74.0,0,0,84,2.92,1.068,13,14,*05r8n*,33825,808967.0,301.0,2.69,2.95,3.18,0.223,0.43200000000000005,98.0,99.0,105.0,106.0,0.305,1192.0,0.27899999999999997,0.055999999999999994,-0.0109999999999999,-0.311,199.0,7.5,86.0,88.5,8.2,The Authority
