ID,Pos,Player,Team,Eligible,Status,Age,Opponent,IP,SV,HLD,K,ERA,WHIP,W+QS,GP,FANTRAXID,IDFANGRAPHS,MLBID,TBF,FIP,xFIP,SIERA,K-BB%,HardHit%,BABIP+,Stuff+,Location+,Pitching+,CSW%,Pitches,K%,BB%,est_woba_minus_woba_diff,era_minus_xera_diff,bip,brl_percent,ev95plus,avg_hit_speed,avg_hit_angle,team_name
*02c2h*,P,Chris Bassitt,TOR,SP,Act,35,@MIN Sun 1:10PM,151.2,0,0,149,4.27,1.398,20,27,*02c2h*,12304,605135.0,659.0,3.96,4.21,4.22,0.14,0.389,116.0,94.0,98.0,97.0,0.27399999999999997,2607.0,0.226,0.086,0.0,-0.017,440.0,8.0,171.0,88.3,15.0,Heaters
*05wru*,P,Paul Skenes,PIT,SP,Act,22,@CLE Sun 12:40PM,109.0,0,0,136,2.23,0.954,21,18,*05wru*,33677,694973.0,421.0,2.72,2.69,2.82,0.261,0.358,94.0,104.0,103.0,104.0,0.29100000000000004,1731.0,0.32299999999999995,0.062,-0.002,-0.441,254.0,5.5,92.0,88.1,8.7,Heaters
*02c4q*,P,Nick Martinez,CIN,"SP,RP",Act,34,MIL Sun 11:10AM,109.2,0,7,86,3.78,1.131,8,37,*02c4q*,12730,607259.0,451.0,3.64,4.07,3.92,0.16,0.311,98.0,99.0,109.0,107.0,0.265,1673.0,0.191,0.031,0.009,0.245,346.0,5.8,108.0,86.8,16.6,Heaters
*05jqy*,P,Mitchell Parker,WSH,"SP,RP",Act,24,CHC Sun 12:35PM,126.2,0,0,109,4.26,1.263,16,24,*05jqy*,27636,680730.0,534.0,4.02,4.19,4.27,0.14,0.385,99.0,88.0,100.0,98.0,0.258,1992.0,0.204,0.064,-0.015,-0.147,390.0,7.9,150.0,89.6,16.2,Heaters
*04eek*,SP,Griffin Canning,LAA,SP,Res,28,SEA Sun 3:07PM,144.0,0,0,106,5.19,1.389,9,27,*04eek*,19867,656288.0,621.0,5.16,4.76,4.85,0.087,0.414,101.0,87.0,98.0,97.0,0.252,2405.0,0.171,0.084,-0.001,0.308,457.0,9.0,190.0,90.6,13.7,Heaters
*02i3o*,SP,Aaron Nola,PHI,SP,Res,31,ATL Sun 6:10PM,166.1,0,0,153,3.3,1.16,29,27,*02i3o*,16149,605400.0,677.0,3.94,3.64,3.87,0.16399999999999998,0.37,95.0,104.0,105.0,104.0,0.27,2607.0,0.226,0.062,-0.005,-0.569,479.0,7.1,178.0,88.3,12.4,Heaters
*05xop*,SP,Cade Povich,BAL,SP,Res,24,@COL Sun 2:10PM,52.0,0,0,37,6.58,1.731,3,11,*05xop*,30055,700249.0,245.0,5.67,5.85,5.52,0.045,0.35200000000000004,114.0,85.0,96.0,95.0,0.261,958.0,0.151,0.106,0.0539999999999999,2.137,179.0,10.1,63.0,88.0,17.4,Heaters
*041rf*,P,Shane Bieber,CLE,SP,IR,29,PIT Sun 12:40PM,12.0,0,0,20,0.0,0.917,4,2,*041rf*,19427,669456.0,45.0,0.09,0.6,1.35,0.42200000000000004,0.41700000000000004,147.0,98.0,102.0,100.0,0.355,166.0,0.444,0.022000000000000002,-0.013,-2.67,24.0,4.2,10.0,88.5,7.1,Heaters
*05jp3*,SP,Logan Allen,CLE,SP,Min,25,PIT Sun 12:40PM,97.1,0,0,79,5.73,1.582,13,20,*05jp3*,27589,671106.0,432.0,5.87,4.77,4.82,0.08800000000000001,0.461,112.0,77.0,96.0,91.0,0.263,1665.0,0.183,0.095,0.02,-0.177,308.0,11.4,143.0,91.0,13.4,Heaters
*04fq2*,SP,Javier Assad,CHC,"SP,RP",Act,27,@WSH Sun 12:35PM,126.0,0,0,106,3.21,1.357,13,25,*04fq2*,21741,665871.0,517.0,4.5,4.62,4.71,0.099,0.37,94.0,86.0,100.0,95.0,0.252,2084.0,0.19699999999999998,0.099,-0.012,-1.39,358.0,8.1,134.0,88.3,14.1,jstocs5
*04ml0*,SP,Yusei Kikuchi,HOU,SP,Act,33,KC Sun 1:10PM,150.2,0,0,177,4.24,1.248,16,28,*04ml0*,20633,579328.0,610.0,3.65,3.39,3.48,0.205,0.45899999999999996,113.0,110.0,102.0,105.0,0.293,2440.0,0.27,0.066,-0.005,0.265,403.0,9.9,188.0,90.7,14.7,jstocs5
*02my5*,RP,Edwin Diaz,NYM,RP,Act,30,@CHW Sun 1:10PM,39.2,15,2,58,4.08,1.059,5,42,*02my5*,14710,621242.0,159.0,3.83,2.8,2.5,0.27,0.31,88.0,123.0,95.0,105.0,0.317,684.0,0.365,0.094,0.0259999999999999,1.354,84.0,8.3,26.0,85.9,13.3,jstocs5
*041rj*,RP,JoJo Romero,STL,RP,Act,27,@NYY Sun 12:35PM,52.2,0,30,46,2.73,1.044,5,56,*041rj*,19574,668941.0,211.0,3.82,3.7,3.48,0.161,0.389,88.0,86.0,97.0,97.0,0.289,812.0,0.218,0.057,-0.048,-1.836,149.0,9.4,58.0,89.8,8.0,jstocs5
*02bqy*,P,Joe Musgrove,SD,SP,Act,31,@TB Sun 12:40PM,71.0,0,0,63,4.44,1.268,10,14,*02bqy*,12970,605397.0,295.0,4.41,4.1,4.06,0.149,0.392,107.0,117.0,101.0,101.0,0.292,1145.0,0.214,0.064,-0.0129999999999999,-0.743,204.0,10.8,80.0,89.8,12.2,jstocs5
*03mnq*,P,Carlos Estevez,PHI,RP,Act,31,ATL Sun 6:10PM,46.2,23,0,44,2.31,0.814,2,46,*03mnq*,14542,608032.0,171.0,3.06,4.12,3.5,0.19899999999999998,0.433,75.0,110.0,104.0,105.0,0.295,657.0,0.24600000000000002,0.047,-0.052,-0.585,120.0,10.0,52.0,90.7,22.0,jstocs5
*03ann*,P,Jeff Hoffman,PHI,RP,Act,31,ATL Sun 6:10PM,57.1,10,18,76,1.88,0.977,3,59,*03ann*,17432,656546.0,225.0,2.6,2.94,2.54,0.262,0.396,92.0,116.0,100.0,104.0,0.319,843.0,0.32899999999999996,0.067,-0.008,-0.793,134.0,7.5,53.0,87.9,17.2,jstocs5
*01fd0*,P,Daniel Hudson,LAD,RP,Act,37,@ARI Sun 3:10PM,53.1,10,17,51,2.53,0.956,6,55,*01fd0*,7146,543339.0,210.0,3.81,4.04,3.52,0.17600000000000002,0.5,74.0,102.0,101.0,101.0,0.278,836.0,0.243,0.067,-0.0489999999999999,-1.259,144.0,11.8,72.0,90.9,19.1,jstocs5
*04pr8*,SP,Taj Bradley,TB,SP,Res,23,SD Sun 12:40PM,109.2,0,0,121,4.35,1.222,14,20,*04pr8*,22543,671737.0,459.0,4.19,3.73,3.76,0.18100000000000002,0.419,98.0,116.0,97.0,103.0,0.264,1832.0,0.264,0.083,-0.014,0.09,297.0,10.8,128.0,91.3,14.1,jstocs5
*03nuc*,P,Luis Castillo,SEA,SP,Res,31,@LAA Sun 3:07PM,165.1,0,0,167,3.65,1.173,28,28,*03nuc*,15689,622491.0,679.0,3.87,3.78,3.78,0.18,0.418,101.0,102.0,105.0,103.0,0.272,2701.0,0.24600000000000002,0.066,-0.004,-0.273,462.0,8.4,194.0,89.6,15.6,jstocs5
*029si*,SP,Eduardo Rodriguez,ARI,SP,Res,31,LAD Sun 3:10PM,21.1,0,0,16,5.06,1.219,2,4,*029si*,13164,593958.0,90.0,4.2,4.09,4.42,0.122,0.377,92.0,75.0,108.0,97.0,0.282,337.0,0.17800000000000002,0.055999999999999994,-0.0279999999999999,0.083,69.0,10.1,26.0,87.0,13.2,jstocs5
*04auj*,SP,Framber Valdez,HOU,SP,Res,30,KC Sun 1:10PM,150.1,0,0,146,3.11,1.111,27,24,*04auj*,17295,664285.0,598.0,3.24,3.12,3.43,0.166,0.451,99.0,113.0,97.0,102.0,0.301,2228.0,0.244,0.079,-0.0159999999999999,-0.287,399.0,4.5,181.0,90.3,0.9,jstocs5
*045kb*,SP,Cristian Javier,HOU,SP,IR,27,KC Sun 1:10PM,34.2,0,0,27,3.89,1.413,6,7,*045kb*,17606,664299.0,150.0,4.76,5.59,5.63,0.053,0.308,92.0,113.0,92.0,97.0,0.259,571.0,0.18,0.127,-0.01,-0.766,104.0,6.7,32.0,88.9,24.6,jstocs5
*04ps7*,P,Joe Ryan,MIN,SP,IR,28,TOR Sun 1:10PM,135.0,0,0,147,3.6,0.985,20,23,*04ps7*,21390,657746.0,538.0,3.45,3.46,3.29,0.23,0.364,94.0,99.0,107.0,104.0,0.29600000000000004,2108.0,0.273,0.043,0.0139999999999999,0.69,363.0,8.5,133.0,88.3,18.5,jstocs5
*04ee7*,SP,Clarke Schmidt,NYY,SP,IR,28,STL Sun 12:35PM,60.2,0,0,67,2.52,1.137,7,11,*04ee7*,19899,657376.0,247.0,3.53,3.75,3.65,0.19,0.344,103.0,115.0,99.0,101.0,0.308,1020.0,0.271,0.081,-0.011,-1.268,154.0,7.1,53.0,88.4,15.5,jstocs5
*0310c*,RP,Hunter Harvey,KC,RP,IR,29,@HOU Sun 1:10PM,50.2,1,28,55,4.44,1.322,2,49,*0310c*,15507,640451.0,219.0,3.53,3.54,3.32,0.17800000000000002,0.47600000000000003,114.0,111.0,104.0,106.0,0.281,906.0,0.251,0.073,-0.0129999999999999,-0.579,143.0,9.1,69.0,90.4,10.9,jstocs5
*02zif*,P,Ryan Pressly,HOU,RP,IR,35,KC Sun 1:10PM,48.2,3,21,51,3.7,1.377,1,51,*02zif*,7005,519151.0,209.0,3.03,3.48,3.41,0.163,0.44,120.0,125.0,100.0,108.0,0.271,830.0,0.239,0.077,0.006,-0.204,140.0,8.6,62.0,90.3,6.3,jstocs5
*0596g*,SP,Reid Detmers,LAA,SP,Min,25,SEA Sun 3:07PM,63.0,0,0,70,6.14,1.476,5,12,*0596g*,27468,672282.0,277.0,4.39,4.14,4.07,0.155,0.365,118.0,97.0,98.0,98.0,0.295,1101.0,0.253,0.09699999999999999,0.0439999999999999,2.413,178.0,9.0,65.0,89.1,16.2,jstocs5
*041qr*,SP,Aaron Civale,MIL,SP,Act,29,@CIN Sun 11:10AM,135.1,0,0,127,4.59,1.345,12,26,*041qr*,19479,650644.0,585.0,4.73,4.34,4.3,0.138,0.391,102.0,97.0,100.0,100.0,0.27699999999999997,2276.0,0.217,0.079,0.015,0.499,407.0,7.4,160.0,89.5,16.9,Savannah Bananas
*02bxv*,SP,Jon Gray,TEX,SP,Act,32,OAK Sun 1:35PM,102.2,0,0,86,4.47,1.315,12,24,*02bxv*,14916,592351.0,439.0,3.71,4.24,4.31,0.132,0.42200000000000004,108.0,85.0,103.0,98.0,0.267,1631.0,0.196,0.064,-0.027,-0.219,325.0,8.6,137.0,90.5,15.3,Savannah Bananas
*050ok*,RP,Yennier Cano,BAL,RP,Act,30,@COL Sun 2:10PM,52.1,5,31,54,2.75,1.299,4,61,*050ok*,25911,666974.0,217.0,3.8,3.18,3.09,0.157,0.408,109.0,116.0,106.0,107.0,0.27399999999999997,881.0,0.249,0.092,0.007,-0.898,142.0,5.6,58.0,89.3,-3.5,Savannah Bananas
*0317q*,RP,Griffin Jax,MIN,RP,Act,29,TOR Sun 1:10PM,58.2,8,21,77,1.69,0.818,3,61,*0317q*,20253,643377.0,226.0,1.88,2.41,2.23,0.28800000000000003,0.34600000000000003,88.0,136.0,105.0,117.0,0.35200000000000004,897.0,0.341,0.053,-0.019,-0.432,135.0,6.7,47.0,88.1,8.6,Savannah Bananas
*025it*,P,Jason Adam,SD,RP,Act,33,@TB Sun 12:40PM,60.0,4,22,71,2.1,0.85,7,60,*025it*,11861,592094.0,229.0,2.94,3.23,2.8,0.23600000000000002,0.387,77.0,130.0,98.0,106.0,0.33,904.0,0.31,0.07400000000000001,-0.052,-1.06,137.0,8.0,53.0,88.6,13.4,Savannah Bananas
*04ehz*,P,Jeremiah Estrada,SD,RP,Act,25,@TB Sun 12:40PM,50.1,1,12,82,3.4,1.172,4,49,*04ehz*,22210,669093.0,213.0,2.08,2.5,2.28,0.29600000000000004,0.39299999999999996,113.0,143.0,100.0,107.0,0.314,850.0,0.385,0.08900000000000001,-0.005,0.557,111.0,6.3,44.0,89.5,19.4,Savannah Bananas
*04tji*,P,Edwin Uceta,TB,RP,Act,26,SD Sun 12:40PM,32.1,1,4,42,0.84,0.649,2,21,,,,,,,,,,,,,,,,,,,,,,,,,Savannah Bananas
*04q05*,P,Alex Vesia,LAD,RP,Act,28,@ARI Sun 3:10PM,56.0,5,11,74,1.77,1.0,2,57,*04q05*,25007,681911.0,224.0,3.42,4.01,3.39,0.21,0.35200000000000004,67.0,119.0,101.0,105.0,0.28,948.0,0.33,0.121,-0.02,-1.092,120.0,12.5,43.0,87.8,28.4,Savannah Bananas
*03d6p*,P,Grant Holmes,ATL,"SP,RP",Res,28,@PHI Sun 6:10PM,51.2,0,1,51,3.48,1.142,3,18,*03d6p*,16944,656550.0,210.0,3.21,3.54,3.38,0.19,0.41100000000000003,103.0,97.0,100.0,100.0,0.297,744.0,0.243,0.052000000000000005,-0.0109999999999999,0.004,146.0,6.2,60.0,89.1,13.5,Savannah Bananas
*02hir*,P,Michael Lorenzen,KC,SP,Res,32,@HOU Sun 1:10PM,126.0,0,0,92,3.43,1.254,16,24,*02hir*,14843,547179.0,519.0,4.99,5.01,5.14,0.066,0.391,85.0,94.0,97.0,95.0,0.255,2033.0,0.177,0.11199999999999999,-0.025,-1.201,363.0,8.0,143.0,88.5,15.6,Savannah Bananas
*005jn*,P,Charlie Morton,ATL,SP,Res,40,@PHI Sun 6:10PM,137.1,0,0,140,4.26,1.311,17,25,*005jn*,4676,450203.0,583.0,4.63,4.0,4.01,0.151,0.38799999999999996,103.0,95.0,98.0,97.0,0.278,2324.0,0.24,0.08900000000000001,0.005,-0.34,374.0,9.9,145.0,88.9,8.5,Savannah Bananas
*03pov*,P,Brady Singer,KC,SP,Res,28,@HOU Sun 1:10PM,152.2,0,0,147,3.36,1.238,21,27,*03pov*,25377,663903.0,641.0,3.59,3.51,3.75,0.165,0.39899999999999997,109.0,84.0,100.0,95.0,0.289,2503.0,0.22899999999999998,0.064,-0.016,-1.02,444.0,8.1,177.0,88.4,8.6,Savannah Bananas
*03qju*,P,Garrett Cleavinger,TB,RP,Res,30,SD Sun 12:40PM,53.0,4,11,63,3.23,1.302,7,59,*03qju*,17897,664076.0,230.0,3.64,4.07,3.64,0.161,0.321,106.0,117.0,96.0,101.0,0.29100000000000004,914.0,0.27399999999999997,0.113,-0.026,-0.984,134.0,8.2,43.0,86.4,11.0,Savannah Bananas
*04ep8*,RP,Kutter Crawford,BOS,"SP,RP",Res,28,@DET Sun 12:40PM,155.0,0,0,141,4.12,1.097,20,28,*04ep8*,20531,676710.0,637.0,4.67,4.51,4.23,0.155,0.35700000000000004,85.0,107.0,105.0,106.0,0.278,2362.0,0.221,0.066,-0.005,0.253,446.0,10.5,160.0,88.4,20.5,Savannah Bananas
*03d6w*,P,Jack Flaherty,LAD,SP,Res,28,@ARI Sun 3:10PM,135.0,0,0,167,3.07,1.022,23,23,*03d6w*,17479,656427.0,537.0,3.39,2.8,2.88,0.263,0.35,100.0,96.0,104.0,103.0,0.316,2179.0,0.311,0.048,-0.002,-0.213,340.0,7.9,119.0,88.4,13.8,Savannah Bananas
*05xpq*,SP,Christian Scott,NYM,"SP,RP",IR,25,@CHW Sun 1:10PM,47.1,0,0,39,4.56,1.204,3,9,*05xpq*,30107,681035.0,197.0,4.61,4.73,4.49,0.13699999999999998,0.354,92.0,97.0,97.0,101.0,0.239,788.0,0.198,0.061,-0.009,0.123,143.0,10.5,51.0,89.2,22.1,Savannah Bananas
*051e5*,SP,Matt Waldron,SD,SP,Min,27,@TB Sun 12:40PM,142.2,0,0,130,4.79,1.241,17,26,*051e5*,25550,663362.0,603.0,4.11,4.3,4.15,0.149,0.34,99.0,83.0,104.0,99.0,0.276,2357.0,0.21600000000000003,0.066,0.003,0.784,423.0,6.6,145.0,88.0,16.4,Savannah Bananas
*01sb3*,SP,Zack Wheeler,PHI,SP,Act,34,ATL Sun 6:10PM,167.2,0,0,183,2.63,0.978,34,27,*01sb3*,10310,554430.0,639.0,3.35,3.49,3.48,0.205,0.33399999999999996,85.0,105.0,105.0,108.0,0.272,2562.0,0.275,0.07,-0.009,-0.295,410.0,8.5,137.0,86.5,14.3,Houston Buffalos
*05jp7*,SP,Gavin Williams,CLE,SP,Act,25,PIT Sun 12:40PM,52.1,0,0,58,4.99,1.414,4,11,*05jp7*,30122,668909.0,233.0,3.82,3.96,4.0,0.159,0.424,115.0,100.0,102.0,102.0,0.249,968.0,0.249,0.09,0.007,0.667,151.0,7.3,64.0,90.7,14.3,Houston Buffalos
*05oz7*,RP,Jose Butto,NYM,"SP,RP",Act,26,@CHW Sun 1:10PM,68.0,3,2,69,2.65,1.118,9,24,*05oz7*,23313,676130.0,266.0,4.07,4.36,4.34,0.124,0.395,70.0,92.0,91.0,89.0,0.267,1107.0,0.259,0.135,-0.0399999999999999,-1.258,157.0,8.3,62.0,89.1,15.5,Houston Buffalos
*005m0*,RP,David Robertson,TEX,RP,Act,39,OAK Sun 1:35PM,59.0,2,27,84,2.9,1.102,3,55,*005m0*,8241,502085.0,239.0,2.5,2.65,2.53,0.259,0.359,111.0,119.0,99.0,105.0,0.325,986.0,0.34700000000000003,0.08800000000000001,-0.02,-0.142,130.0,4.6,47.0,88.3,8.9,Houston Buffalos
*04ug5*,P,Emmanuel Clase,CLE,RP,Act,26,PIT Sun 12:40PM,63.1,40,0,55,0.71,0.679,4,63,*04ug5*,21032,661403.0,232.0,2.32,2.75,2.57,0.203,0.293,71.0,146.0,106.0,114.0,0.281,843.0,0.237,0.034,-0.069,-1.839,167.0,3.6,50.0,86.5,2.1,Houston Buffalos
*04aoq*,P,Jason Foley,DET,RP,Act,28,BOS Sun 12:40PM,48.1,19,8,35,3.17,1.241,3,55,*04aoq*,19531,671345.0,204.0,4.25,4.35,4.34,0.08800000000000001,0.42700000000000005,93.0,101.0,101.0,104.0,0.268,754.0,0.172,0.083,-0.038,-1.404,150.0,7.3,64.0,89.4,7.8,Houston Buffalos
*0429k*,P,Colin Holderman,PIT,RP,Act,28,@CLE Sun 12:40PM,42.0,0,15,47,3.43,1.381,3,44,*0429k*,22361,670059.0,185.0,4.43,4.28,3.9,0.141,0.41700000000000004,96.0,115.0,95.0,100.0,0.276,727.0,0.254,0.114,-0.012,-1.111,115.0,13.0,48.0,87.9,14.7,Houston Buffalos
*03as0*,P,Joe Jimenez,ATL,RP,Act,29,@PHI Sun 6:10PM,55.0,3,22,59,2.78,1.036,1,55,*03as0*,15761,641729.0,224.0,2.46,3.92,3.38,0.183,0.301,91.0,101.0,105.0,106.0,0.317,877.0,0.263,0.08,-0.017,0.152,143.0,4.9,43.0,86.9,16.6,Houston Buffalos
*05yav*,SP,David Festa,MIN,SP,Res,24,TOR Sun 1:10PM,42.1,0,0,51,4.89,1.205,3,9,*05yav*,30056,701581.0,178.0,4.14,3.37,3.35,0.21899999999999997,0.377,103.0,102.0,102.0,103.0,0.302,696.0,0.287,0.067,0.009,0.77,114.0,9.6,43.0,88.8,16.1,Houston Buffalos
*02btx*,P,Tyler Glasnow,LAD,SP,Res,31,@ARI Sun 3:10PM,134.0,0,0,168,3.49,0.948,23,22,*02btx*,14374,607192.0,522.0,2.9,2.7,2.92,0.255,0.39799999999999996,86.0,118.0,101.0,106.0,0.304,2012.0,0.322,0.067,0.003,0.863,317.0,8.5,127.0,89.0,9.3,Houston Buffalos
*0260v*,SP,Sonny Gray,STL,SP,Res,34,@NYY Sun 12:35PM,147.2,0,0,179,3.96,1.104,23,25,*0260v*,12768,543243.0,597.0,3.37,2.84,3.08,0.24,0.397,100.0,111.0,103.0,105.0,0.309,2206.0,0.3,0.06,-0.012,0.042,379.0,9.8,151.0,89.8,10.8,Houston Buffalos
*02x0f*,SP,Sean Manaea,NYM,"SP,RP",Res,32,@CHW Sun 1:10PM,143.2,0,0,149,3.51,1.142,21,26,*02x0f*,15873,640455.0,593.0,3.78,4.08,3.99,0.16399999999999998,0.39,88.0,87.0,97.0,96.0,0.27,2430.0,0.251,0.08800000000000001,-0.026,-0.392,384.0,7.8,151.0,88.8,16.0,Houston Buffalos
*03yxh*,SP,Cal Quantrill,COL,SP,Res,29,BAL Sun 2:10PM,138.0,0,0,103,4.63,1.42,20,26,*03yxh*,19312,615698.0,597.0,5.04,4.72,4.91,0.077,0.401,99.0,91.0,96.0,95.0,0.244,2403.0,0.17300000000000001,0.095,0.003,-0.39,426.0,7.0,171.0,88.8,11.1,Houston Buffalos
*02bsw*,SP,Mike Clevinger,CHW,SP,IR,33,NYM Sun 1:10PM,16.0,0,0,15,6.75,1.938,0,4,*02bsw*,12808,605182.0,78.0,6.23,5.36,5.13,0.077,0.37,127.0,87.0,99.0,100.0,0.27699999999999997,303.0,0.192,0.115,0.009,-0.76,54.0,14.8,20.0,90.0,18.3,Houston Buffalos
*03di6*,RP,Jordan Romano,TOR,RP,IR,31,@MIN Sun 1:10PM,13.2,8,0,13,6.59,1.463,1,15,*03di6*,16122,605447.0,62.0,6.17,4.37,3.94,0.145,0.5,106.0,134.0,98.0,103.0,0.284,215.0,0.21,0.065,-0.0329999999999999,-1.015,44.0,13.6,22.0,91.6,17.7,Houston Buffalos
*0603p*,P,Hurston Waldrep,ATL,SP,Min,22,@PHI Sun 6:10PM,7.0,0,0,3,16.71,2.429,0,2,*0603p*,33527,694462.0,36.0,11.74,8.35,8.25,-0.139,0.33299999999999996,97.0,85.0,84.0,86.0,0.28600000000000003,133.0,0.083,0.222,0.134,10.924,24.0,4.2,8.0,84.9,12.8,Houston Buffalos
*05js3*,SP,Kyle Harrison,SF,SP,Act,23,MIA Sun 3:05PM,121.2,0,0,115,4.22,1.307,16,23,*05js3*,27758,690986.0,516.0,4.28,4.27,4.19,0.14300000000000002,0.439,102.0,90.0,98.0,92.0,0.27399999999999997,2005.0,0.223,0.079,-0.014,-0.574,353.0,10.2,156.0,90.7,15.4,Lakeland Flying Tigers
*051cl*,SP,Joey Estes,OAK,SP,Act,22,@TEX Sun 1:35PM,107.0,0,1,83,4.29,1.112,13,20,*051cl*,26257,683155.0,416.0,4.49,5.21,4.98,0.127,0.4,90.0,92.0,107.0,105.0,0.23399999999999999,1547.0,0.183,0.055,-0.006,0.216,310.0,9.4,124.0,89.4,26.4,Lakeland Flying Tigers
*04pw3*,RP,James McArthur,KC,RP,Act,27,@HOU Sun 1:10PM,54.1,18,2,45,4.47,1.325,5,52,*04pw3*,21527,663704.0,229.0,3.91,3.55,3.37,0.153,0.40399999999999997,119.0,112.0,100.0,105.0,0.315,826.0,0.19699999999999998,0.044000000000000004,0.016,0.382,171.0,8.2,69.0,90.0,7.5,Lakeland Flying Tigers
*04tlv*,RP,Bryan Abreu,HOU,RP,Act,27,KC Sun 1:10PM,66.2,1,33,91,3.38,1.275,2,67,*04tlv*,16609,650556.0,285.0,3.47,3.61,3.13,0.21100000000000002,0.363,111.0,126.0,96.0,102.0,0.319,1160.0,0.319,0.109,0.01,0.025,157.0,8.3,58.0,90.0,16.4,Lakeland Flying Tigers
*0516h*,P,DJ Herz,WSH,SP,Act,23,CHC Sun 12:35PM,70.1,0,0,88,4.09,1.265,4,15,*0516h*,26389,687792.0,285.0,3.86,3.64,3.51,0.207,0.349,103.0,96.0,98.0,97.0,0.28800000000000003,1162.0,0.29100000000000004,0.084,0.023,0.488,174.0,8.6,62.0,89.6,18.2,Lakeland Flying Tigers
*005ih*,P,Clayton Kershaw,LAD,SP,Act,36,@ARI Sun 3:10PM,30.0,0,0,24,4.5,1.5,3,7,*005ih*,2036,477132.0,133.0,3.54,4.3,4.52,0.113,0.408,120.0,101.0,100.0,100.0,0.266,504.0,0.18,0.068,0.009,0.06,98.0,4.1,40.0,90.4,14.1,Lakeland Flying Tigers
*041ps*,P,Nick Lodolo,CIN,SP,Act,26,MIL Sun 11:10AM,115.1,0,0,122,4.76,1.197,17,21,*041ps*,26378,666157.0,493.0,3.95,3.97,3.8,0.172,0.373,98.0,106.0,99.0,96.0,0.292,1865.0,0.247,0.075,0.005,0.97,316.0,8.2,120.0,89.2,11.8,Lakeland Flying Tigers
*041sz*,P,Tobias Myers,MIL,SP,Act,26,@CIN Sun 11:10AM,108.1,0,0,94,2.99,1.126,12,21,*041sz*,22191,668964.0,440.0,4.15,4.14,4.14,0.15,0.39299999999999996,90.0,90.0,101.0,97.0,0.257,1660.0,0.214,0.064,-0.026,-1.249,313.0,8.3,124.0,90.1,16.4,Lakeland Flying Tigers
*03ab0*,P,Luis Severino,NYM,SP,Res,30,@CHW Sun 1:10PM,152.1,0,0,131,3.96,1.26,19,26,*03ab0*,15890,622663.0,644.0,4.31,4.22,4.33,0.12300000000000001,0.35100000000000003,95.0,106.0,100.0,100.0,0.23600000000000002,2434.0,0.203,0.081,-0.004,-0.072,448.0,5.8,160.0,87.2,11.8,Lakeland Flying Tigers
*05ajh*,P,Garrett Crochet,CHW,"SP,RP",Res,25,NYM Sun 1:10PM,128.2,0,0,180,3.64,1.073,17,27,*05ajh*,27463,676979.0,526.0,2.83,2.55,2.66,0.28300000000000003,0.381,109.0,102.0,103.0,103.0,0.307,2117.0,0.342,0.059000000000000004,0.015,0.817,310.0,8.4,118.0,88.2,11.2,Lakeland Flying Tigers
*04pq4*,SP,Kyle Bradish,BAL,SP,IR,27,@COL Sun 2:10PM,39.1,0,0,53,2.75,1.068,4,8,*04pq4*,24586,680694.0,163.0,2.51,2.93,3.11,0.233,0.293,98.0,114.0,101.0,105.0,0.312,674.0,0.325,0.092,0.002,0.036,91.0,6.6,26.0,84.8,3.1,Lakeland Flying Tigers
*04pko*,P,Grayson Rodriguez,BAL,SP,IR,24,@COL Sun 2:10PM,116.2,0,0,130,3.86,1.243,24,20,*04pko*,24492,680570.0,491.0,3.67,3.59,3.63,0.191,0.391,109.0,119.0,102.0,107.0,0.29600000000000004,1879.0,0.265,0.073,0.006,0.067,320.0,7.8,127.0,89.2,13.4,Lakeland Flying Tigers
*004ee*,SP,Max Scherzer,TEX,SP,IR,40,OAK Sun 1:35PM,39.1,0,0,38,3.89,1.093,5,8,*004ee*,3137,453286.0,158.0,3.91,3.82,3.78,0.19,0.33299999999999996,98.0,84.0,107.0,103.0,0.29,597.0,0.24100000000000002,0.051,0.02,0.59,111.0,7.2,37.0,87.8,20.9,Lakeland Flying Tigers
*04ptt*,SP,Tarik Skubal,DET,SP,Act,27,BOS Sun 12:40PM,168.1,0,0,201,2.51,0.933,36,27,*04ptt*,22267,669373.0,636.0,2.59,2.88,2.95,0.252,0.341,97.0,103.0,103.0,106.0,0.321,2391.0,0.303,0.052000000000000005,-0.013,-0.258,402.0,6.5,138.0,87.8,12.4,Moonstars
*03vcw*,SP,Jordan Hicks,SF,"SP,RP",Act,27,MIA Sun 3:05PM,108.1,1,2,95,3.9,1.422,7,28,*03vcw*,19618,663855.0,472.0,4.38,4.32,4.43,0.10400000000000001,0.419,105.0,106.0,94.0,97.0,0.27,1931.0,0.201,0.09699999999999999,-0.012,-1.045,322.0,9.3,135.0,89.5,8.8,Moonstars
*05h2u*,RP,Jared Jones,PIT,"SP,RP",Act,23,@CLE Sun 12:40PM,95.0,0,0,102,3.88,1.147,14,17,*05h2u*,27863,683003.0,390.0,4.01,3.81,3.73,0.185,0.43700000000000006,92.0,127.0,102.0,109.0,0.295,1461.0,0.262,0.077,-0.008,-0.146,254.0,10.6,112.0,89.5,13.7,Moonstars
*03ql5*,RP,Ryan Helsley,STL,RP,Act,30,@NYY Sun 12:35PM,57.2,42,0,64,2.34,1.197,6,57,*03ql5*,18138,664854.0,232.0,2.84,3.73,3.51,0.172,0.324,98.0,143.0,99.0,110.0,0.324,815.0,0.267,0.095,-0.014,-0.548,148.0,3.4,49.0,89.1,17.7,Moonstars
