,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,AVG,OBP,SLG,OPS,ISO,BABIP,wOBA,wRC+,LD%,GB%,FB%,IFFB%,Pull%,SwStr%,PlayerId,EDB Team,TWTC Team,BL Team
59,Canaan Smith-Njigba,CHW,"AA,AAA",25,56,186,227,42,26,11,2,3,27,19,37,63,0,6,0,0.162995594,0.277533039,0.225806451,0.351111111,0.354838709,0.70594982,0.129032258,0.319672131,0.330508490933312,91.2602860853833,0.241935483,0.524193548,0.233870967,0.137931034,0.33333333,0.12602459,23264,BurghtownOs,,
60,Jacob Amaya,MIA,AAA,25,70,245,280,55,39,10,2,4,35,31,32,67,2,6,0,0.114285714,0.239285714,0.224489795,0.317857142,0.330612244,0.648469386,0.106122449,0.291428571,0.301742046432835,65.8472660604414,0.230337078,0.471910112,0.297752808,0.150943396,0.41340782,0.08525755,23296,,,
61,Nelson Velazquez,KCR,AAA,25,32,106,128,23,13,6,1,3,13,11,20,25,1,2,2,0.15625,0.1953125,0.216981132,0.34375,0.37735849,0.72110849,0.160377358,0.253164556,0.3286707138452,89.3595955040495,0.243902439,0.402439024,0.353658536,0.172413793,0.40243902,0.11220472,23359,Rantiago,Off Often,
62,Jose Barrero,TEX,AAA,26,49,165,188,31,18,6,1,6,25,25,13,63,8,10,1,0.069148936,0.335106382,0.187878787,0.276595744,0.345454545,0.622050289,0.157575758,0.25510204,0.28108699144201,52.8004054287652,0.196078431,0.401960784,0.401960784,0.365853658,0.55769231,0.15125,23378,BurghtownOs,,
63,Luis Vazquez,CHC,AAA,24,58,211,247,55,35,13,0,7,29,21,24,58,6,1,2,0.097165991,0.234817813,0.260663507,0.351239669,0.421800947,0.773040616,0.16113744,0.326530612,0.349372411808691,102.628894459542,0.22368421,0.513157894,0.263157894,0.3,0.44303797,0.10477178,23442,,,
64,Jose Tena,WSN,AAA,23,100,408,448,117,76,21,2,18,60,68,34,115,2,15,8,0.075892857,0.256696428,0.286764705,0.343820224,0.480392156,0.82421238,0.193627451,0.358695652,0.362454872720696,111.054862279628,0.225255972,0.515358361,0.259385665,0.197368421,0.39130435,0.14377934,23691,,,
65,Everson Pereira,NYY,AAA,23,40,162,182,43,24,8,1,10,33,27,16,59,4,5,2,0.087912087,0.324175824,0.265432098,0.346153846,0.512345679,0.858499525,0.246913581,0.354838709,0.374612037952129,118.806898090586,0.225490196,0.44117647,0.333333333,0.176470588,0.42718447,0.1996997,23695,,,
66,Ezequiel Duran,TEX,AAA,25,19,83,86,23,12,4,2,5,18,16,3,19,0,5,1,0.03488372,0.220930232,0.277108433,0.302325581,0.554216867,0.856542448,0.277108434,0.305084745,0.357831098312555,100.677677608758,0.28125,0.390625,0.328125,0.238095238,0.34375,0.1292517,23733,,,
67,Leo Jimenez,TOR,AAA,23,57,181,226,49,34,8,0,7,40,23,30,34,15,3,1,0.132743362,0.150442477,0.270718232,0.415929203,0.430939226,0.846868429,0.160220994,0.3,0.392203721588691,130.082751390913,0.229166666,0.5,0.270833333,0.128205128,0.44897959,0.07549361,23782,,,
68,Jordyn Adams,LAA,AAA,24,105,410,469,109,78,20,3,8,67,50,45,124,4,27,9,0.095948827,0.264392324,0.265853658,0.340517241,0.387804878,0.728322119,0.12195122,0.356890459,0.330158827633693,83.4141652798551,0.232394366,0.471830985,0.295774647,0.19047619,0.38644068,0.13974057,23788,,,
