ID,Pos,Player,Team,Eligible,Status,Age,Opponent,AB,H,R,HR,RBI,SO,SB,OPS,GP,FANTRAXID,IDFANGRAPHS,MLBID,wOBA,xwOBA,BABIP+,K%,BB%,wRC+,PA,Contact%,Swing%,Pitches,Z-Swing%,O-Swing%,HardHit%,Zone%,est_woba_minus_woba_diff,est_slg_minus_slg_diff,est_ba_minus_ba_diff,bip,brl_pa,ev95plus,avg_hit_speed,avg_hit_angle,ev50,Swings,Swing Decisions,Z-Pitches,Z-Swings,O-Pitches,O-Swings,team_name
*04my4*,C,Cal Raleigh,SEA,C,Act,27,TEX Fri 9:10PM,488,105,65,30,92,163,6,0.74,139,*04my4*,21534,663728.0,0.318,0.342,87.0,0.29100000000000004,0.10800000000000001,113.0,557.0,0.7290000000000001,0.523,2238.0,0.76,0.361,0.491,0.406,-0.024,-0.0489999999999999,-0.014,330.0,9.3,162.0,91.3,21.2,102.2,1170.474,39.900000000000006,908.628,690.55728,1329.3719999999998,479.9032919999999,Bang Bang Scissor Gang
*01fh9*,1B,Bryce Harper,PHI,1B,Act,31,NYM Fri 5:40PM,496,143,76,26,79,117,5,0.899,130,*01fh9*,11579,547180.0,0.38,0.362,112.0,0.20600000000000002,0.12,146.0,569.0,0.75,0.523,2195.0,0.804,0.358,0.47100000000000003,0.37,0.018,0.035,0.0139999999999999,382.0,6.5,181.0,91.1,13.6,102.4,1147.9850000000001,44.60000000000001,812.15,652.9686,1382.85,495.0602999999999,Bang Bang Scissor Gang
*024m0*,2B,Jose Altuve,HOU,2B,Act,34,@LAA Fri 8:38PM,576,174,86,19,62,110,20,0.806,141,*024m0*,5417,514888.0,0.351,0.318,121.0,0.17600000000000002,0.069,131.0,625.0,0.7959999999999999,0.513,2245.0,0.703,0.4,0.307,0.373,0.0329999999999999,0.042,0.0379999999999999,466.0,5.0,144.0,86.3,14.6,97.2,1151.685,30.299999999999994,837.385,588.681655,1407.615,563.046,Bang Bang Scissor Gang
*04eig*,3B,Jose Caballero,TB,"2B,3B,SS",Act,28,@CLE Fri 6:10PM,405,95,53,9,44,123,40,0.657,126,*04eig*,23401,676609.0,0.284,0.275,108.0,0.27899999999999997,0.057,87.0,441.0,0.728,0.489,1726.0,0.6679999999999999,0.377,0.263,0.386,0.0089999999999999,0.0319999999999999,0.005,285.0,3.2,75.0,84.0,14.6,96.5,844.014,29.099999999999994,666.236,445.04564799999997,1059.764,399.53102799999994,Bang Bang Scissor Gang
*03ae8*,SS,Dansby Swanson,CHC,SS,Act,30,@COL Fri 7:40PM,475,111,70,14,58,132,16,0.683,135,*03ae8*,18314,621020.0,0.299,0.325,99.0,0.25,0.09300000000000001,93.0,529.0,0.728,0.48700000000000004,2120.0,0.74,0.28300000000000003,0.42200000000000004,0.446,-0.026,-0.0479999999999999,-0.0139999999999999,346.0,5.9,146.0,89.2,10.0,100.1,1032.44,45.699999999999996,945.52,699.6848,1174.48,332.37784000000005,Bang Bang Scissor Gang
*03qo2*,OF,LaMonte Wade Jr.,SF,"1B,OF",Act,30,SD Fri 9:15PM,285,76,41,6,29,80,1,0.778,104,*03qo2*,18126,664774.0,0.343,0.36,116.0,0.22899999999999998,0.166,123.0,350.0,0.782,0.405,1448.0,0.648,0.23399999999999999,0.418,0.414,-0.0169999999999999,-0.0529999999999999,0.003,208.0,5.4,87.0,90.1,11.9,100.9,586.44,41.400000000000006,599.472,388.457856,848.5280000000001,198.555552,Bang Bang Scissor Gang
*03nru*,OF,Jesus Sanchez,MIA,OF,Act,26,@WSH Fri 5:45PM,435,107,50,17,59,122,14,0.722,134,*03nru*,19913,660821.0,0.312,0.347,102.0,0.257,0.069,98.0,475.0,0.7140000000000001,0.527,1735.0,0.742,0.386,0.516,0.39799999999999996,-0.0349999999999999,-0.07,-0.023,316.0,8.2,164.0,92.9,8.0,104.6,914.345,35.6,690.53,512.37326,1044.4700000000003,403.1654200000001,Bang Bang Scissor Gang
*04b02*,OF,Seiya Suzuki,CHC,OF,Act,30,@COL Fri 7:40PM,464,127,69,20,66,145,14,0.832,119,*04b02*,30116,673548.0,0.357,0.34,120.0,0.276,0.099,133.0,526.0,0.775,0.39899999999999997,2246.0,0.626,0.24,0.486,0.413,0.0169999999999999,0.0239999999999999,0.024,323.0,7.4,157.0,91.6,16.4,102.5,896.1539999999999,38.6,927.598,580.676348,1318.4019999999998,316.4164799999999,Bang Bang Scissor Gang
*03rmz*,UT,Keibert Ruiz,WSH,C,Act,26,MIA Fri 5:45PM,412,94,45,13,50,48,2,0.633,115,*03rmz*,19610,660688.0,0.273,0.283,77.0,0.109,0.035,74.0,432.0,0.885,0.522,1471.0,0.6890000000000001,0.40399999999999997,0.255,0.41600000000000004,-0.0099999999999999,0.008,-0.0229999999999999,365.0,3.0,94.0,85.5,20.1,95.6,767.8620000000001,28.500000000000007,611.936,421.62390400000004,859.064,347.061856,Bang Bang Scissor Gang
*0414g*,UT,Luis Garcia,WSH,2B,Act,24,MIA Fri 5:45PM,455,128,51,15,63,78,21,0.759,127,*0414g*,20391,671277.0,0.329,0.336,107.0,0.163,0.054000000000000006,112.0,478.0,0.815,0.512,1725.0,0.6920000000000001,0.385,0.40399999999999997,0.41200000000000003,-0.006,-0.019,0.0,374.0,6.1,153.0,88.8,8.6,100.1,883.2,30.700000000000006,710.7,491.8044000000001,1014.3,390.5055,Bang Bang Scissor Gang
*02mzg*,3B,Max Muncy,LAD,3B,Res,34,@ATL Fri 6:20PM,191,44,37,14,39,66,0,0.859,59,*02mzg*,13301,571970.0,0.361,0.356,87.0,0.282,0.145,134.0,234.0,0.701,0.40700000000000003,971.0,0.6459999999999999,0.247,0.473,0.402,0.005,0.028,-0.0059999999999999,131.0,6.8,62.0,91.4,27.8,101.5,395.197,39.89999999999999,390.34200000000004,252.160932,580.658,143.422526,Bang Bang Scissor Gang
*02jh6*,UT,Eugenio Suarez,ARI,3B,Res,33,MIL Fri 8:40PM,508,130,84,28,92,151,2,0.808,142,*02jh6*,12552,553993.0,0.345,0.335,102.0,0.263,0.08199999999999999,121.0,574.0,0.731,0.47,2274.0,0.691,0.299,0.425,0.436,0.0099999999999999,0.0299999999999999,0.007,367.0,7.1,156.0,89.2,19.6,100.6,1068.78,39.199999999999996,991.4639999999999,685.1016239999999,1282.536,383.478264,Bang Bang Scissor Gang
*02xic*,OF,Teoscar Hernandez,LAD,OF,Res,31,@ATL Fri 6:20PM,531,142,75,28,87,167,11,0.821,139,*02xic*,13066,606192.0,0.352,0.34,115.0,0.285,0.08,128.0,586.0,0.6890000000000001,0.513,2361.0,0.764,0.32899999999999996,0.46399999999999997,0.42100000000000004,0.0119999999999999,0.007,0.018,365.0,8.9,170.0,90.7,9.8,102.6,1211.193,43.50000000000001,993.9810000000001,759.4014840000001,1367.019,449.74925099999996,Bang Bang Scissor Gang
*02yc4*,UT,Shohei Ohtani,LAD,"UT,SP",Res,30,@ATL Fri 6:20PM,569,166,116,47,104,146,48,0.992,143,*02yc4*,19755,660271.0,0.412,0.437,106.0,0.223,0.113,169.0,656.0,0.737,0.475,2562.0,0.7040000000000001,0.31,0.589,0.42,-0.025,-0.037,-0.02,428.0,13.4,255.0,95.6,16.7,106.5,1216.95,39.400000000000006,1076.04,757.5321600000001,1485.9600000000003,460.64760000000007,Bang Bang Scissor Gang
*03avk*,UT,Luis Rengifo,LAA,"2B,3B,SS,OF",IR,27,HOU Fri 8:38PM,283,85,41,6,30,44,24,0.763,78,*03avk*,19858,650859.0,0.335,0.293,119.0,0.145,0.053,116.0,304.0,0.7909999999999999,0.56,1086.0,0.797,0.402,0.325,0.4,0.042,0.064,0.0389999999999999,240.0,2.0,78.0,87.0,6.7,97.0,608.1600000000001,39.5,434.40000000000003,346.21680000000003,651.6,261.94320000000005,Bang Bang Scissor Gang
*01sfi*,UT,DJ LeMahieu,NYY,"1B,3B",IR,36,BOS Fri 6:05PM,201,41,19,2,26,35,0,0.527,67,*01sfi*,9874,518934.0,0.239,0.302,80.0,0.154,0.083,51.0,228.0,0.851,0.444,846.0,0.596,0.322,0.376,0.445,-0.063,-0.1129999999999999,-0.044,173.0,4.4,65.0,88.5,1.9,98.3,375.624,27.399999999999995,376.47,224.37612000000001,469.53,151.18866,Bang Bang Scissor Gang
*03nri*,OF,Lourdes Gurriel Jr.,ARI,OF,IR,30,MIL Fri 8:40PM,486,133,69,17,70,98,7,0.744,125,*03nri*,19238,666971.0,0.321,0.32,105.0,0.188,0.052000000000000005,105.0,522.0,0.812,0.508,1980.0,0.723,0.35100000000000003,0.40299999999999997,0.42200000000000004,0.001,0.0,0.005,392.0,5.2,159.0,88.5,15.9,99.7,1005.84,37.199999999999996,835.5600000000001,604.10988,1144.4399999999998,401.69844,Bang Bang Scissor Gang
*01s8u*,OF,Mike Trout,LAA,OF,IR,33,HOU Fri 8:38PM,109,24,17,10,14,27,6,0.867,29,*01s8u*,10155,545361.0,0.365,0.406,68.0,0.214,0.127,137.0,126.0,0.828,0.425,574.0,0.6779999999999999,0.214,0.415,0.455,-0.041,-0.0579999999999999,-0.053,82.0,11.1,34.0,89.2,25.2,101.8,243.95,46.4,261.17,177.07326,312.83,66.94561999999999,Bang Bang Scissor Gang
*04q56*,C,Logan OHoppe,LAA,C,Act,24,HOU Fri 8:38PM,437,104,56,19,54,142,2,0.7,123,*04q56*,24729,681351.0,0.305,0.334,107.0,0.299,0.059000000000000004,96.0,475.0,0.693,0.52,1812.0,0.738,0.381,0.465,0.391,-0.029,-0.062,-0.018,297.0,7.4,138.0,90.3,14.5,101.3,942.24,35.699999999999996,708.4920000000001,522.8670960000001,1103.508,420.436548,Aidand4
*04t9b*,1B,Michael Busch,CHC,"1B,3B",Act,26,@COL Fri 7:40PM,453,113,68,17,56,149,2,0.766,137,*04t9b*,26319,683737.0,0.333,0.315,112.0,0.289,0.11199999999999999,116.0,516.0,0.741,0.449,2148.0,0.705,0.27699999999999997,0.384,0.402,0.018,0.016,0.0289999999999999,307.0,6.4,118.0,89.6,16.2,99.7,964.452,42.8,863.4960000000001,608.76468,1284.504,355.80760799999996,Aidand4
*04nx3*,2B,Jonathan India,CIN,2B,Act,27,@MIN Fri 7:10PM,489,119,77,14,54,119,12,0.735,137,*04nx3*,21523,663697.0,0.326,0.352,98.0,0.205,0.12300000000000001,103.0,576.0,0.8240000000000001,0.386,2393.0,0.601,0.217,0.37,0.439,-0.0259999999999999,-0.0339999999999999,-0.026,376.0,5.4,140.0,87.2,13.2,99.1,923.698,38.4,1050.527,631.366727,1342.473,291.316641,Aidand4
*04aeb*,3B,Royce Lewis,MIN,3B,Act,25,CIN Fri 7:10PM,234,58,34,16,46,63,0,0.819,66,*04aeb*,20437,668904.0,0.343,0.33,92.0,0.24100000000000002,0.084,125.0,261.0,0.741,0.52,1005.0,0.765,0.363,0.386,0.39,0.013,0.041,0.001,176.0,8.8,68.0,87.5,17.0,99.8,522.6,40.2,391.95,299.84175,613.05,222.53714999999997,Aidand4
*03zlh*,SS,Oneil Cruz,PIT,"SS,OF",Act,25,KC Fri 5:40PM,496,132,65,19,72,167,22,0.784,132,*03zlh*,21711,665833.0,0.334,0.343,122.0,0.306,0.077,112.0,545.0,0.672,0.46399999999999997,2168.0,0.652,0.33899999999999997,0.55,0.39799999999999996,-0.009,-0.0179999999999999,-0.004,333.0,9.9,183.0,95.5,9.9,107.2,1005.9519999999999,31.300000000000004,862.8639999999999,562.587328,1305.1360000000002,442.44110400000005,Aidand4
*04355*,OF,Yordan Alvarez,HOU,OF,Act,27,@LAA Fri 8:38PM,515,160,81,32,80,87,6,0.959,137,*04355*,19556,670541.0,0.405,0.417,113.0,0.14800000000000002,0.107,169.0,587.0,0.81,0.475,2091.0,0.6859999999999999,0.33799999999999997,0.48700000000000004,0.395,-0.0119999999999999,-0.041,0.005,427.0,10.4,208.0,92.8,18.4,104.0,993.2249999999999,34.8,825.945,566.59827,1265.055,427.58858999999995,Aidand4
*02i2k*,OF,Byron Buxton,MIN,OF,Act,30,CIN Fri 7:10PM,305,84,54,16,49,89,6,0.862,90,*02i2k*,14161,621439.0,0.366,0.356,118.0,0.266,0.054000000000000006,141.0,335.0,0.693,0.541,1270.0,0.775,0.377,0.48200000000000004,0.413,0.01,0.014,0.012,218.0,9.3,105.0,92.0,20.3,102.6,687.07,39.800000000000004,524.51,406.49525,745.49,281.04973,Aidand4
*03dei*,OF,Lane Thomas,CLE,OF,Act,29,TB Fri 6:10PM,422,104,58,11,57,122,32,0.718,116,*03dei*,16939,657041.0,0.314,0.313,107.0,0.253,0.087,102.0,471.0,0.8009999999999999,0.431,1857.0,0.659,0.262,0.41100000000000003,0.426,0.001,0.021,-0.005,304.0,4.5,125.0,88.9,17.0,100.3,800.367,39.7,791.082,521.323038,1065.9180000000001,279.27051600000004,Aidand4
*03aoy*,UT,Sean Murphy,ATL,C,Act,29,LAD Fri 6:20PM,210,43,16,9,22,58,0,0.648,64,*03aoy*,19352,669221.0,0.285,0.306,81.0,0.248,0.09,81.0,234.0,0.718,0.457,926.0,0.649,0.308,0.368,0.43700000000000006,-0.02,-0.0449999999999999,-0.015,152.0,6.0,56.0,88.0,10.0,99.7,423.182,34.1,404.66200000000003,262.62563800000004,521.338,160.572104,Aidand4
*05gsc*,UT,Jordan Westburg,BAL,"2B,3B",Act,25,@DET Fri 5:40PM,390,105,55,18,58,90,6,0.815,101,*05gsc*,27815,676059.0,0.348,0.361,108.0,0.214,0.05,130.0,420.0,0.741,0.515,1522.0,0.743,0.34,0.47,0.435,-0.013,-0.012,-0.0169999999999999,302.0,8.8,142.0,91.4,13.9,102.0,783.83,40.3,662.07,491.91801000000004,859.93,292.3762,Aidand4
*04si2*,UT,Andrew Vaughn,CHW,1B,Res,26,OAK Fri 6:40PM,513,125,51,17,63,120,2,0.697,135,*04si2*,26197,683734.0,0.303,0.33,99.0,0.215,0.064,95.0,559.0,0.7979999999999999,0.489,2110.0,0.6759999999999999,0.35600000000000004,0.43,0.41600000000000004,-0.027,-0.063,-0.007,398.0,7.0,172.0,90.5,16.8,100.9,1031.79,31.99999999999999,877.7600000000001,593.36576,1232.24,438.67744000000005,Aidand4
*041ai*,2B,Gavin Lux,LAD,2B,Res,26,@ATL Fri 6:20PM,403,101,51,10,47,99,5,0.7,125,*041ai*,19955,666158.0,0.306,0.318,104.0,0.22399999999999998,0.077,98.0,441.0,0.792,0.457,1759.0,0.6890000000000001,0.276,0.408,0.43799999999999994,-0.012,-0.008,-0.014,306.0,4.3,125.0,88.3,8.0,99.0,803.863,41.300000000000004,770.4419999999999,530.834538,988.5580000000001,272.8420080000001,Aidand4
*059bs*,3B,Bryan Ramos,CHW,3B,Res,22,OAK Fri 6:40PM,57,12,7,1,4,11,0,0.532,19,*059bs*,25621,682868.0,0.231,0.272,84.0,0.183,0.033,45.0,60.0,0.76,0.43700000000000006,229.0,0.6729999999999999,0.25,0.426,0.441,-0.041,-0.0579999999999999,-0.031,47.0,3.3,20.0,89.9,7.9,100.2,100.07300000000001,42.29999999999999,100.989,67.965597,128.011,32.00275,Aidand4
*03zcy*,3B,Mark Vientos,NYM,3B,Res,24,@PHI Fri 5:40PM,352,97,50,24,62,109,0,0.872,96,*03zcy*,22184,668901.0,0.37,0.347,111.0,0.281,0.077,143.0,388.0,0.687,0.49700000000000005,1501.0,0.7,0.35,0.467,0.419,0.023,0.045,0.022,246.0,9.5,115.0,91.1,12.0,102.4,745.9970000000001,35.0,628.919,440.2433,872.0809999999999,305.2283499999999,Aidand4
*0518n*,UT,Vaughn Grissom,BOS,"2B,SS",Res,23,@NYY Fri 6:05PM,81,12,6,0,3,19,0,0.367,23,*0518n*,26031,687093.0,0.174,0.271,68.0,0.218,0.057,0.0,87.0,0.78,0.446,337.0,0.643,0.306,0.29,0.41700000000000004,-0.097,-0.157,-0.09,62.0,2.3,18.0,85.4,9.1,96.8,150.302,33.7,140.52900000000002,90.36014700000001,196.47099999999998,60.12012599999999,Aidand4
*042no*,UT,Oswaldo Cabrera,NYY,"2B,3B,OF",Res,25,BOS Fri 6:05PM,277,68,43,8,35,55,4,0.664,100,*042no*,21707,665828.0,0.291,0.288,97.0,0.182,0.066,88.0,303.0,0.836,0.467,1178.0,0.6859999999999999,0.322,0.35200000000000004,0.39799999999999996,0.003,0.024,-0.005,227.0,3.0,80.0,88.2,12.7,97.7,550.126,36.39999999999999,468.84399999999994,321.62698399999994,709.1560000000001,228.34823200000002,Aidand4
*05xor*,1B,Christian Encarnacion-Strand,CIN,1B,IR,24,@MIN Fri 7:10PM,116,22,13,2,16,35,0,0.513,29,*05xor*,30011,687952.0,0.223,0.306,84.0,0.285,0.033,34.0,123.0,0.73,0.5589999999999999,451.0,0.74,0.43700000000000006,0.373,0.401,-0.0829999999999999,-0.153,-0.0549999999999999,83.0,5.7,31.0,87.8,15.5,99.9,252.10899999999998,30.299999999999994,180.851,133.82974,270.149,118.05511300000002,Aidand4
*02yk4*,OF,Tyler ONeill,BOS,OF,IR,29,@NYY Fri 6:05PM,375,97,71,30,59,144,4,0.897,102,*02yk4*,15711,641933.0,0.377,0.347,114.0,0.33299999999999996,0.11199999999999999,142.0,427.0,0.68,0.43700000000000006,1787.0,0.6729999999999999,0.27899999999999997,0.483,0.401,0.03,0.043,0.035,232.0,9.1,113.0,91.0,19.8,103.0,780.9190000000001,39.4,716.587,482.26305099999996,1070.413,298.645227,Aidand4
*047l7*,OF,Luis Robert Jr.,CHW,OF,IR,27,OAK Fri 6:40PM,344,76,40,14,35,126,21,0.66,88,*047l7*,20043,673357.0,0.285,0.289,106.0,0.34,0.065,83.0,371.0,0.672,0.528,1427.0,0.742,0.391,0.409,0.392,-0.004,-0.009,0.003,219.0,6.2,90.0,90.2,13.0,101.3,753.456,35.099999999999994,559.384,415.062928,867.616,339.237856,Aidand4
*04prt*,UT,Lawrence Butler,OAK,OF,Min,24,@CHW Fri 6:40PM,361,97,56,21,54,90,14,0.84,112,*04prt*,22542,671732.0,0.356,0.361,104.0,0.228,0.077,137.0,391.0,0.764,0.47,1582.0,0.71,0.299,0.493,0.41600000000000004,-0.005,0.0,-0.004,272.0,8.7,134.0,91.7,11.6,102.3,743.54,41.099999999999994,658.1120000000001,467.25952,923.8879999999999,276.242512,Aidand4
*04o4s*,C,Shea Langeliers,OAK,C,Act,26,@CHW Fri 6:40PM,438,97,51,25,69,131,4,0.721,124,*04o4s*,25816,669127.0,0.309,0.323,88.0,0.27,0.069,104.0,478.0,0.7340000000000001,0.49700000000000005,1742.0,0.7040000000000001,0.35600000000000004,0.424,0.406,-0.014,-0.019,-0.0139999999999999,311.0,8.4,132.0,91.1,16.8,101.7,865.7740000000001,34.800000000000004,707.2520000000001,497.9054080000001,1034.748,368.3702880000001,Montgomery Biscuits
*051ia*,1B,Spencer Horwitz,TOR,"1B,2B",Act,26,STL Fri 6:07PM,278,77,42,12,35,56,0,0.834,83,*051ia*,26477,687462.0,0.359,0.349,107.0,0.175,0.106,137.0,320.0,0.835,0.47,1333.0,0.672,0.311,0.387,0.43799999999999994,0.01,0.0179999999999999,0.014,225.0,6.6,88.0,88.7,12.9,98.7,626.51,36.1,583.8539999999999,392.34988799999996,749.1460000000001,232.98440600000004,Montgomery Biscuits
*0326s*,2B,Ketel Marte,ARI,2B,Act,30,MIL Fri 8:40PM,451,133,83,31,85,94,6,0.924,120,*0326s*,13613,606466.0,0.387,0.388,103.0,0.182,0.10300000000000001,149.0,517.0,0.8009999999999999,0.485,1865.0,0.738,0.29600000000000004,0.536,0.43,-0.001,0.019,-0.002,366.0,8.1,197.0,93.7,8.7,103.8,904.525,44.199999999999996,801.9499999999999,591.8390999999999,1063.0500000000002,314.6628000000001,Montgomery Biscuits
*03ojr*,3B,Vladimir Guerrero Jr.,TOR,"1B,3B",Act,25,STL Fri 6:07PM,558,179,88,28,94,88,2,0.94,144,*03ojr*,19611,665489.0,0.398,0.41,119.0,0.14,0.102,164.0,630.0,0.794,0.479,2352.0,0.71,0.308,0.562,0.426,-0.0109999999999999,-0.0289999999999999,-0.004,473.0,10.3,266.0,94.2,7.0,105.9,1126.608,40.199999999999996,1001.952,711.3859199999999,1350.0480000000002,415.8147840000001,Montgomery Biscuits
*025gb*,SS,Xander Bogaerts,SD,"2B,SS",Act,31,@SF Fri 9:15PM,376,99,46,9,37,68,10,0.682,97,*025gb*,12161,593428.0,0.298,0.309,100.0,0.16699999999999998,0.061,94.0,407.0,0.84,0.43700000000000006,1578.0,0.614,0.284,0.32299999999999995,0.46399999999999997,-0.011,-0.012,-0.004,313.0,3.9,102.0,87.8,10.8,98.0,689.5860000000001,33.0,732.1919999999999,449.5658879999999,845.8080000000001,240.209472,Montgomery Biscuits
*051em*,OF,Kerry Carpenter,DET,OF,Act,27,BAL Fri 5:40PM,229,66,33,14,49,69,0,0.93,74,*051em*,25961,681481.0,0.395,0.384,125.0,0.268,0.079,161.0,254.0,0.72,0.493,978.0,0.6809999999999999,0.366,0.46,0.40399999999999997,0.011,0.025,0.0239999999999999,160.0,11.4,75.0,90.3,16.9,100.9,482.154,31.499999999999993,395.11199999999997,269.07127199999996,582.888,213.337008,Montgomery Biscuits
*0512v*,OF,Michael Harris II,ATL,OF,Act,23,LAD Fri 6:20PM,371,92,43,11,37,87,8,0.667,94,*0512v*,25931,671739.0,0.289,0.319,100.0,0.221,0.046,83.0,394.0,0.755,0.556,1396.0,0.7170000000000001,0.433,0.451,0.434,-0.03,-0.0479999999999999,-0.023,286.0,6.6,129.0,89.9,7.1,102.8,776.176,28.40000000000001,605.864,434.4044880000001,790.1360000000001,342.128888,Montgomery Biscuits
*03ynj*,OF,Juan Soto,NYY,OF,Act,25,BOS Fri 6:05PM,530,153,115,39,101,107,5,0.996,143,*03ynj*,20123,665742.0,0.423,0.467,102.0,0.162,0.18,180.0,650.0,0.797,0.37,2682.0,0.606,0.212,0.562,0.402,-0.044,-0.088,-0.032,425.0,13.2,239.0,94.1,10.4,105.5,992.34,39.4,1078.164,653.367384,1603.836,340.013232,Montgomery Biscuits
*031t0*,UT,Gleyber Torres,NYY,2B,Act,27,BOS Fri 6:05PM,525,131,68,13,56,123,4,0.692,140,*031t0*,16997,650402.0,0.306,0.307,105.0,0.205,0.10300000000000001,98.0,594.0,0.792,0.456,2546.0,0.722,0.261,0.34600000000000003,0.423,-0.001,-0.008,0.013,408.0,4.2,141.0,88.3,15.3,98.1,1160.976,46.099999999999994,1076.9579999999999,777.5636759999999,1469.042,383.419962,Montgomery Biscuits
*04y95*,UT,JJ Bleday,OAK,OF,Act,26,@CHW Fri 6:40PM,524,128,71,20,56,112,1,0.773,144,*04y95*,26368,668709.0,0.333,0.324,96.0,0.18899999999999997,0.1,121.0,582.0,0.77,0.45,2261.0,0.6920000000000001,0.284,0.36200000000000004,0.408,0.009,0.032,-0.004,412.0,6.2,149.0,88.6,18.7,99.0,1017.45,40.80000000000001,922.4879999999999,638.361696,1338.5120000000002,380.137408,Montgomery Biscuits
*01sy3*,UT,Nolan Arenado,STL,3B,Res,33,@TOR Fri 6:07PM,529,141,64,16,65,85,2,0.716,139,*01sy3*,9777,571448.0,0.313,0.297,98.0,0.146,0.068,102.0,576.0,0.8420000000000001,0.466,2228.0,0.6409999999999999,0.336,0.301,0.42700000000000005,0.016,0.036,0.013,448.0,2.8,137.0,86.2,17.0,96.8,1038.248,30.49999999999999,951.3560000000001,609.819196,1276.644,428.95238400000005,Montgomery Biscuits
*04azv*,3B,Jake Burger,MIA,"1B,3B",Res,28,@WSH Fri 5:45PM,472,115,60,25,61,133,1,0.745,122,*04azv*,22275,669394.0,0.318,0.338,94.0,0.259,0.057,102.0,509.0,0.715,0.519,1827.0,0.69,0.41200000000000003,0.475,0.384,-0.02,-0.0359999999999999,-0.016,339.0,8.4,161.0,91.7,12.7,103.9,948.2130000000001,27.79999999999999,701.568,484.08191999999997,1125.432,463.67798400000004,Montgomery Biscuits
*04ppj*,SS,Jeremy Pena,HOU,SS,Res,26,@LAA Fri 8:38PM,551,147,72,15,68,102,16,0.704,143,*04ppj*,21636,665161.0,0.308,0.319,106.0,0.171,0.037000000000000005,101.0,589.0,0.772,0.529,2085.0,0.741,0.387,0.381,0.401,-0.011,-0.0159999999999999,-0.004,454.0,4.6,173.0,88.1,8.2,99.2,1102.9650000000001,35.4,836.085,619.538985,1248.915,483.330105,Montgomery Biscuits
*05jr0*,OF,Alec Burleson,STL,"1B,OF",Res,25,@TOR Fri 6:07PM,496,134,64,21,73,71,9,0.747,137,*05jr0*,27615,676475.0,0.324,0.331,94.0,0.131,0.055999999999999994,109.0,534.0,0.825,0.557,1912.0,0.785,0.385,0.40700000000000003,0.431,-0.007,-0.011,-0.004,428.0,5.6,177.0,89.6,14.6,99.4,1064.9840000000002,40.0,824.072,646.89652,1087.9279999999999,418.85227999999995,Montgomery Biscuits
*04s1g*,C,Gabriel Moreno,ARI,C,Act,24,MIL Fri 8:40PM,275,72,36,5,41,45,3,0.729,86,*04s1g*,22664,672515.0,0.321,0.327,100.0,0.14300000000000002,0.10800000000000001,105.0,314.0,0.8420000000000001,0.419,1363.0,0.603,0.27699999999999997,0.42100000000000004,0.436,-0.006,-0.016,0.002,233.0,5.1,98.0,90.4,9.4,99.9,571.097,32.6,594.268,358.343604,768.7320000000001,212.938764,Florence Y'alls
*02mw3*,1B,Christian Walker,ARI,1B,Act,33,MIL Fri 8:40PM,424,108,64,25,77,122,2,0.821,114,*02mw3*,13419,572233.0,0.35,0.358,99.0,0.251,0.10300000000000001,124.0,486.0,0.758,0.48100000000000004,2052.0,0.7609999999999999,0.281,0.47700000000000004,0.41700000000000004,-0.008,0.006,0.007,308.0,9.3,147.0,91.1,17.2,103.2,987.0120000000001,47.999999999999986,855.6840000000001,651.175524,1196.316,336.164796,Florence Y'alls
*04ai4*,2B,Nolan Gorman,STL,2B,Act,24,@TOR Fri 6:07PM,365,74,42,19,50,151,6,0.671,107,*04ai4*,22263,669357.0,0.29,0.312,95.0,0.376,0.085,87.0,402.0,0.635,0.509,1597.0,0.723,0.34700000000000003,0.384,0.43200000000000005,-0.022,-0.0449999999999999,-0.0099999999999999,216.0,9.0,83.0,88.5,20.3,100.7,812.873,37.599999999999994,689.9040000000001,498.80059200000005,907.0959999999999,314.762312,Florence Y'alls
*03pom*,3B,Austin Riley,ATL,3B,Act,27,LAD Fri 6:20PM,425,109,63,19,56,118,0,0.783,110,*03pom*,18360,663586.0,0.338,0.366,105.0,0.252,0.079,116.0,469.0,0.743,0.501,1824.0,0.747,0.314,0.534,0.43200000000000005,-0.0279999999999999,-0.0559999999999999,-0.016,309.0,9.8,165.0,93.3,15.9,103.8,913.824,43.3,787.9680000000001,588.6120960000001,1036.032,325.31404799999996,Florence Y'alls
*04y9p*,SS,Anthony Volpe,NYY,SS,Act,23,BOS Fri 6:05PM,590,147,86,11,55,143,26,0.671,146,*04y9p*,27647,683011.0,0.294,0.28,109.0,0.226,0.057999999999999996,90.0,633.0,0.789,0.48,2556.0,0.667,0.32799999999999996,0.354,0.447,0.0139999999999999,0.0359999999999999,0.01,448.0,2.7,161.0,87.8,7.4,98.3,1226.8799999999999,33.900000000000006,1142.532,762.068844,1413.4679999999998,463.6175039999999,Florence Y'alls
*04aee*,OF,Jo Adell,LAA,OF,Act,25,HOU Fri 8:38PM,405,84,54,20,62,126,15,0.682,130,*04aee*,20220,666176.0,0.296,0.317,85.0,0.27899999999999997,0.078,89.0,451.0,0.721,0.49700000000000005,1841.0,0.731,0.345,0.445,0.39299999999999996,-0.021,-0.0289999999999999,-0.024,282.0,7.3,126.0,89.8,15.9,102.7,914.9770000000001,38.6,723.5129999999999,528.8880029999999,1117.487,385.533015,Florence Y'alls
