ID,Pos,Player,Team,Eligible,Status,Age,Opponent,AB,H,R,HR,RBI,SO,SB,OPS,GP,FANTRAXID,IDFANGRAPHS,MLBID,wOBA,xwOBA,BABIP+,K%,BB%,wRC+,PA,Contact%,Swing%,Pitches,Z-Swing%,O-Swing%,HardHit%,Zone%,est_woba_minus_woba_diff,est_slg_minus_slg_diff,est_ba_minus_ba_diff,bip,brl_pa,ev95plus,avg_hit_speed,avg_hit_angle,ev50,Swings,Swing Decisions,Z-Pitches,Z-Swings,O-Pitches,O-Swings,team_name
*060x1*,UT,Wilyer Abreu,BOS,OF,Act,25,@NYY Fri 6:05PM,355,94,55,15,55,114,8,0.818,117,*060x1*,23772,677800.0,0.35,0.321,120.0,0.28800000000000003,0.087,123.0,392.0,0.7440000000000001,0.479,1598.0,0.706,0.315,0.498,0.419,0.0289999999999999,0.0569999999999999,0.034,243.0,7.4,122.0,91.6,20.0,101.8,765.442,39.099999999999994,669.562,472.71077199999996,928.438,292.45797,Moonstars
*04mrn*,C,Bo Naylor,CLE,C,Res,24,TB Fri 6:10PM,318,66,37,12,38,109,6,0.635,110,*04mrn*,21865,666310.0,0.279,0.26,96.0,0.314,0.075,80.0,347.0,0.733,0.466,1447.0,0.6609999999999999,0.313,0.36200000000000004,0.441,0.019,0.0389999999999999,0.0119999999999999,210.0,4.3,77.0,88.6,20.9,98.6,674.302,34.79999999999999,638.127,421.8019469999999,808.8729999999999,253.177249,Moonstars
*03de9*,1B,Rhys Hoskins,MIL,1B,Res,31,@ARI Fri 8:40PM,408,84,50,23,71,128,3,0.694,117,*03de9*,16472,656555.0,0.304,0.304,79.0,0.272,0.099,94.0,464.0,0.772,0.429,1995.0,0.615,0.28,0.41600000000000004,0.446,0.0,0.004,0.001,285.0,7.5,119.0,88.4,21.5,99.6,855.855,33.5,889.77,547.20855,1105.23,309.4644,Moonstars
*041qb*,SS,Bo Bichette,TOR,SS,Res,26,STL Fri 6:07PM,306,68,29,4,30,63,5,0.595,80,*041qb*,19612,666182.0,0.262,0.305,93.0,0.19,0.06,69.0,331.0,0.81,0.564,1173.0,0.795,0.402,0.433,0.41200000000000003,-0.0429999999999999,-0.062,-0.037,245.0,3.3,106.0,89.5,7.5,101.0,661.5719999999999,39.300000000000004,483.276,384.20442,689.7239999999999,277.269048,Moonstars
*0310z*,UT,J.P. Crawford,SEA,SS,Res,29,TEX Fri 9:10PM,338,67,48,9,36,88,5,0.631,90,*0310z*,15491,641487.0,0.287,0.316,84.0,0.22,0.121,91.0,387.0,0.833,0.408,1669.0,0.652,0.214,0.386,0.444,-0.029,-0.0439999999999999,-0.033,251.0,4.4,98.0,88.1,13.5,99.1,680.952,43.800000000000004,741.0360000000001,483.15547200000003,927.964,198.584296,Moonstars
*03d7g*,OF,Alex Verdugo,NYY,OF,Res,28,BOS Fri 6:05PM,527,125,69,12,58,89,1,0.658,139,*03d7g*,17027,657077.0,0.288,0.308,91.0,0.152,0.08,86.0,586.0,0.86,0.441,2211.0,0.627,0.27899999999999997,0.363,0.466,-0.02,-0.024,-0.019,449.0,4.4,163.0,88.7,9.9,98.3,975.051,34.800000000000004,1030.326,646.014402,1180.674,329.40804599999996,Moonstars
*03fi0*,2B,Ozzie Albies,ATL,2B,IR,27,LAD Fri 6:20PM,361,93,47,8,46,61,8,0.717,90,*03fi0*,16556,645277.0,0.311,0.306,97.0,0.155,0.061,98.0,394.0,0.804,0.568,1512.0,0.856,0.375,0.319,0.401,0.005,0.0129999999999999,0.005,304.0,4.6,97.0,88.6,19.1,96.9,858.8159999999999,48.1,606.312,519.003072,905.688,339.633,Moonstars
*04pt2*,OF,Lars Nootbaar,STL,OF,IR,27,@TOR Fri 6:07PM,305,75,31,9,36,69,7,0.739,94,*04pt2*,21454,663457.0,0.321,0.356,96.0,0.198,0.126,107.0,348.0,0.8320000000000001,0.375,1426.0,0.5720000000000001,0.204,0.506,0.465,-0.0349999999999999,-0.071,-0.025,235.0,6.6,119.0,91.8,5.0,102.2,534.75,36.80000000000001,663.09,379.2874800000001,762.9099999999999,155.63363999999996,Moonstars
*05gwr*,C,Drew Romo,COL,C,Min,23,CHC Fri 7:40PM,46,8,4,0,6,17,0,0.447,13,*05gwr*,27763,691011.0,0.199,0.164,94.0,0.354,0.042,10.0,48.0,0.71,0.55,169.0,0.684,0.441,0.172,0.45,0.035,0.0449999999999999,0.0369999999999999,29.0,2.1,5.0,82.2,11.2,92.9,92.95,24.300000000000004,76.05,52.0182,92.95,40.99095,Moonstars
*04ppl*,1B,Owen Miller,MIL,"1B,2B,3B",Min,27,@ARI Fri 8:40PM,27,5,2,0,3,8,0,0.407,14,*04ppl*,24655,680911.0,0.177,0.19,89.0,0.29600000000000004,0.0,8.0,27.0,0.698,0.515,103.0,0.6729999999999999,0.353,0.21100000000000002,0.505,-0.013,-0.0239999999999999,-0.008,19.0,0.0,4.0,89.6,9.7,97.1,53.045,31.999999999999996,52.015,35.006094999999995,50.985,17.997705,Moonstars
*04q2n*,C,Adley Rutschman,BAL,C,Act,26,@DET Fri 5:40PM,519,132,62,18,74,92,1,0.719,134,*04q2n*,26288,668939.0,0.312,0.322,96.0,0.158,0.091,105.0,581.0,0.8420000000000001,0.44299999999999995,2331.0,0.613,0.318,0.36200000000000004,0.42200000000000004,-0.009,-0.0109999999999999,-0.007,434.0,4.8,158.0,88.0,18.9,98.1,1032.6329999999998,29.5,983.6820000000001,602.997066,1347.318,428.447124,Rantiago
*01cgo*,1B,Freddie Freeman,LAD,1B,Act,35,@ATL Fri 6:20PM,493,139,75,21,83,95,6,0.86,134,*01cgo*,5361,518692.0,0.367,0.376,104.0,0.163,0.124,139.0,582.0,0.8170000000000001,0.496,2295.0,0.767,0.307,0.41700000000000004,0.41,-0.009,-0.008,-0.002,405.0,6.9,170.0,89.7,14.1,100.5,1138.32,46.0,940.9499999999999,721.7086499999999,1354.0500000000002,415.69335000000007,Rantiago
*051dl*,2B,Edouard Julien,MIN,2B,Act,25,CIN Fri 7:10PM,245,53,35,8,21,94,6,0.66,87,*051dl*,27534,666397.0,0.296,0.302,110.0,0.33799999999999997,0.115,92.0,278.0,0.711,0.40299999999999997,1142.0,0.636,0.22899999999999998,0.397,0.429,-0.006,-0.032,0.008,151.0,5.8,60.0,88.5,12.1,99.3,460.22599999999994,40.7,489.918,311.587848,652.082,149.326778,Rantiago
*02w7p*,3B,Alex Bregman,HOU,3B,Act,30,@LAA Fri 8:38PM,531,136,72,22,65,77,3,0.753,132,*02w7p*,17678,608324.0,0.328,0.32,93.0,0.135,0.068,116.0,572.0,0.887,0.451,2165.0,0.6940000000000001,0.264,0.41,0.434,0.008,0.025,0.001,451.0,5.1,186.0,89.3,18.5,99.0,976.4150000000001,43.00000000000001,939.61,652.0893400000001,1225.39,323.50296000000003,Rantiago
*04qk8*,SS,CJ Abrams,WSH,SS,Act,23,MIA Fri 5:45PM,527,126,77,20,65,125,29,0.735,134,*04qk8*,25768,682928.0,0.315,0.319,93.0,0.213,0.065,103.0,582.0,0.77,0.535,2192.0,0.721,0.39299999999999996,0.39799999999999996,0.43200000000000005,-0.004,0.012,-0.011,405.0,4.8,162.0,88.0,15.2,99.3,1172.72,32.800000000000004,946.9440000000001,682.746624,1245.0559999999998,489.3070079999999,Rantiago
